best-d,best,base+g,base
318,245,476,600
318,245,476,600
318,245,476,600
318,245,476,601
318,245,476,601
318,245,477,601
318,245,477,601
318,245,477,601
318,245,477,601
318,245,477,601
318,245,477,601
318,245,477,601
318,245,477,601
318,245,477,602
318,245,477,602
318,245,478,602
318,245,478,602
318,245,478,602
318,245,478,602
318,245,478,602
318,245,478,602
318,245,478,602
318,245,478,602
318,245,478,602
318,245,478,603
318,245,478,603
318,245,479,603
318,245,479,603
318,248,479,603
318,248,479,603
318,248,479,603
318,248,479,603
318,248,479,603
318,248,480,603
318,248,480,603
318,248,480,604
318,248,480,604
320,248,480,604
320,248,480,604
320,248,480,604
320,248,480,604
321,248,481,604
321,248,481,604
321,248,481,604
321,248,481,604
321,248,481,604
321,248,481,605
321,248,481,605
321,248,481,605
321,248,481,605
321,248,481,605
321,248,482,605
321,248,482,605
321,248,482,605
321,248,482,605
321,248,482,605
321,248,482,606
321,248,482,606
321,248,482,606
321,248,482,606
321,248,482,606
321,248,483,606
321,248,483,606
321,248,483,606
321,248,483,606
321,248,483,606
321,248,483,606
321,248,483,607
321,248,483,607
321,248,483,607
321,248,484,607
321,248,484,607
321,248,484,607
321,248,484,607
321,248,484,607
321,248,484,607
321,248,484,607
321,248,484,607
321,248,484,608
321,248,484,608
321,248,484,608
321,248,484,608
321,248,484,608
321,248,484,608
321,248,485,608
321,248,485,608
321,248,485,608
321,248,485,608
321,248,485,608
321,248,485,609
321,248,485,609
321,251,485,609
321,251,485,609
321,251,486,609
321,251,486,609
321,251,486,609
321,251,486,609
321,251,486,609
323,251,486,609
323,251,486,609
323,251,486,610
323,251,486,610
323,251,486,610
323,251,487,610
323,251,487,610
323,251,487,610
323,251,487,610
324,251,487,610
324,251,487,610
324,251,487,610
324,251,487,610
324,251,488,611
324,251,488,611
324,251,488,611
324,251,488,611
324,251,488,611
324,251,488,611
324,251,488,611
324,251,488,611
324,251,488,611
324,251,489,611
324,251,489,612
324,251,489,612
324,251,489,612
324,251,489,612
324,251,489,612
324,251,489,612
324,251,489,612
324,251,489,612
324,251,489,612
324,251,490,612
324,251,490,612
324,251,490,612
324,251,490,613
324,251,490,613
324,251,490,613
324,251,490,613
324,251,490,613
324,251,490,613
324,251,490,613
324,251,491,613
324,251,491,613
324,251,491,613
324,251,491,614
324,251,491,614
324,251,491,614
324,251,491,614
324,251,491,614
324,251,492,614
324,251,492,614
324,251,492,614
324,251,492,614
324,251,492,614
324,251,492,614
324,251,492,615
324,251,492,615
324,251,493,615
324,251,493,615
324,251,493,615
324,251,493,615
324,251,493,615
324,251,493,615
324,251,493,615
324,251,493,615
324,251,493,615
324,251,493,616
324,254,493,616
324,254,494,616
324,254,494,616
324,254,494,616
325,254,494,616
325,254,494,616
326,254,494,616
326,254,494,616
326,254,494,616
327,254,494,616
327,254,494,616
327,254,494,617
327,254,495,617
327,254,495,617
327,254,495,617
327,254,495,617
327,254,495,617
327,254,495,617
327,254,495,617
327,254,495,617
327,254,495,617
327,254,495,617
327,254,495,618
327,254,496,618
327,254,496,618
327,254,496,618
327,254,496,618
327,254,496,618
327,254,496,618
327,254,496,618
327,254,496,618
327,254,496,618
327,254,496,618
327,254,496,619
327,254,497,619
327,254,497,619
327,254,497,619
327,254,497,619
327,254,497,619
327,254,497,619
327,254,497,619
327,254,497,619
327,254,497,619
327,254,497,619
327,254,498,620
327,254,498,620
327,254,498,620
327,254,498,620
327,254,498,620
327,254,498,620
327,254,498,620
327,254,498,620
327,254,498,620
327,254,498,620
327,254,498,620
327,254,498,621
327,254,500,621
327,257,500,621
327,257,500,621
327,257,500,621
327,257,500,621
327,257,500,621
327,257,500,621
327,257,500,621
327,257,501,621
328,257,501,622
328,257,501,622
328,257,501,622
328,257,501,622
329,257,501,622
329,257,501,622
329,257,501,622
330,257,501,622
330,257,501,622
330,257,501,622
